age,sleep_hours,feel_rested,daily_screen_time,use_before_sleep,stress_level,anxiety/low_mood,wellness_apps,sleep_quality,screen_time_affects_sleep?
47,4,yes,11,yes,10,no,no,bad,yes
48,4,no,8,no,7,yes,yes,bad,yes
40,7,sometimes,10,no,4,no,yes,bad,yes
26,10,yes,5,yes,1,yes,no,good,no
47,5,yes,7,yes,7,yes,no,good,yes
51,6,no,8,yes,7,no,no,good,not sure
20,9,sometimes,3,no,1,no,no,good,no
21,5,yes,9,no,7,no,no,bad,no
40,8,no,5,yes,4,yes,no,good,no
17,6,sometimes,9,yes,6,yes,no,good,not sure
34,4,sometimes,12,no,9,yes,no,bad,yes
52,6,no,9,no,6,no,no,bad,yes
29,7,no,7,yes,4,no,no,good,yes
39,8,yes,6,no,6,yes,no,good,no
44,4,yes,11,no,8,yes,no,bad,yes
17,9,no,5,no,4,no,yes,good,no
47,4,sometimes,11,no,7,no,yes,bad,yes
40,8,yes,4,no,5,no,yes,good,no
25,9,yes,6,no,5,no,no,good,no
15,10,no,2,no,5,no,no,good,no
21,8,no,4,no,1,yes,yes,good,no
53,10,sometimes,4,no,2,yes,no,good,no
33,6,yes,9,yes,5,no,no,good,no
54,9,yes,4,no,2,no,no,good,no
47,5,sometimes,8,yes,7,no,no,good,no
50,8,yes,3,no,5,no,yes,good,no
54,8,no,3,no,6,no,no,good,no
37,10,no,6,yes,4,yes,yes,good,no
22,9,no,6,no,1,yes,yes,good,no
48,6,sometimes,10,yes,6,yes,no,good,yes
54,8,sometimes,6,no,2,no,yes,good,no
19,7,yes,10,no,4,no,no,good,no
39,9,yes,2,no,1,no,no,good,no
26,7,no,9,yes,6,no,no,good,not sure
54,8,sometimes,5,yes,3,yes,yes,good,no
32,8,yes,3,no,5,yes,no,good,no
24,9,sometimes,2,yes,6,no,no,good,no
28,10,no,5,yes,4,no,yes,good,no
24,9,yes,4,yes,3,yes,no,good,no
43,7,sometimes,9,yes,6,yes,no,good,yes
52,6,sometimes,8,no,3,yes,no,bad,not sure
21,4,yes,8,no,9,no,yes,bad,yes
23,6,sometimes,10,yes,4,no,no,good,yes
48,8,yes,6,no,6,no,yes,good,no
46,6,no,7,no,7,yes,no,good,not sure
19,8,yes,3,yes,2,no,yes,good,no
37,6,yes,8,no,3,yes,yes,good,not sure
47,5,sometimes,9,yes,7,no,yes,good,yes
25,7,no,6,no,5,yes,yes,bad,no
39,8,no,4,yes,3,no,yes,good,no
33,6,no,8,no,6,no,no,good,yes
21,5,yes,6,no,6,yes,no,bad,no
20,9,sometimes,5,no,1,yes,yes,good,no
46,10,sometimes,3,yes,6,no,yes,good,no
51,8,no,5,yes,4,yes,no,good,no
54,6,sometimes,7,no,5,no,yes,bad,no
19,7,no,7,yes,3,no,yes,good,not sure
29,9,no,6,no,6,no,no,good,no
50,6,no,7,yes,6,yes,yes,good,no
51,5,yes,7,yes,8,yes,no,bad,yes
20,4,sometimes,7,no,7,no,no,bad,yes
20,7,yes,9,no,4,yes,no,good,not sure
43,4,yes,10,yes,10,no,no,bad,yes
22,6,sometimes,5,yes,7,yes,yes,bad,not sure
28,9,sometimes,4,no,4,no,no,good,no
